,pgfaults,pgpgin,pgpgout,ctxt,softirq,mem_free,mem_total,swap_free,swap_total,read_bytes,write_bytes,flt
1,5975.0,0.0,0.0,69590.0,829.0,22984.0,0.0,0.0,0.0,0.0,3686400.0,0.0
1,2485.0,0.0,0.0,36223.0,530.0,6948.0,0.0,0.0,0.0,0.0,3792896.0,0.0
1,10643.0,0.0,139264.0,107816.0,2383.0,5512.0,0.0,0.0,0.0,0.0,3768320.0,0.0
1,7463.0,0.0,128.0,99219.0,924.0,4116.0,0.0,0.0,0.0,0.0,3784704.0,0.0
1,832.0,0.0,0.0,48179.0,251.0,4240.0,0.0,0.0,0.0,0.0,3784704.0,0.0
1,6310.0,0.0,0.0,75734.0,919.0,4804.0,0.0,0.0,0.0,0.0,3784704.0,0.0
1,6064.0,0.0,100.0,64099.0,852.0,9316.0,0.0,0.0,0.0,0.0,3792896.0,0.0
1,4042.0,0.0,92.0,52177.0,962.0,4796.0,0.0,0.0,0.0,0.0,3792896.0,0.0
1,6015.0,0.0,48.0,49849.0,994.0,1844.0,0.0,0.0,0.0,0.0,3784704.0,0.0
1,352.0,0.0,0.0,32850.0,285.0,4748.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,10139.0,0.0,664.0,66247.0,1344.0,5028.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,5553.0,0.0,108.0,54930.0,886.0,4304.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,4472.0,0.0,2472.0,63235.0,919.0,5752.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,3186.0,0.0,0.0,57972.0,572.0,3296.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,6795.0,0.0,0.0,71034.0,1169.0,1404.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,10281.0,0.0,169684.0,94513.0,3368.0,10600.0,0.0,0.0,0.0,0.0,3805184.0,0.0
1,3966.0,0.0,0.0,66022.0,662.0,1848.0,0.0,0.0,0.0,0.0,3805184.0,0.0
1,1621.0,0.0,0.0,35485.0,322.0,2036.0,0.0,0.0,0.0,0.0,3792896.0,0.0
1,2313.0,0.0,336.0,65404.0,696.0,1404.0,0.0,0.0,0.0,0.0,3792896.0,0.0
1,4665.0,0.0,0.0,47634.0,789.0,7252.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,1685.0,0.0,0.0,27419.0,375.0,5868.0,0.0,0.0,0.0,0.0,3805184.0,0.0
1,4102.0,0.0,0.0,34647.0,676.0,2664.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,4229.0,0.0,21700.0,48554.0,818.0,4052.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,6919.0,0.0,0.0,55434.0,965.0,3284.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,4168.0,0.0,0.0,74252.0,912.0,1880.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,8176.0,0.0,0.0,41891.0,601.0,13376.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,2851.0,0.0,168.0,63974.0,635.0,2204.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,7313.0,0.0,0.0,92070.0,1286.0,2416.0,0.0,0.0,0.0,0.0,3805184.0,0.0
1,4325.0,0.0,0.0,59653.0,752.0,6056.0,0.0,0.0,0.0,0.0,3805184.0,0.0
1,8059.0,0.0,156.0,85185.0,1367.0,3852.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,7223.0,0.0,0.0,72028.0,1128.0,4252.0,0.0,0.0,0.0,0.0,3809280.0,0.0
1,8983.0,0.0,124.0,133551.0,1617.0,4848.0,0.0,0.0,0.0,0.0,3805184.0,0.0
1,3830.0,0.0,340.0,59433.0,880.0,2496.0,0.0,0.0,0.0,0.0,3809280.0,0.0
1,5700.0,0.0,136.0,100143.0,1113.0,3332.0,0.0,0.0,0.0,0.0,3817472.0,0.0
1,4474.0,0.0,192.0,48522.0,855.0,2976.0,0.0,0.0,0.0,0.0,3784704.0,0.0
1,4496.0,0.0,128.0,39402.0,918.0,1868.0,0.0,0.0,0.0,0.0,3792896.0,0.0
1,4635.0,0.0,372.0,110217.0,1279.0,3948.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,3451.0,0.0,0.0,82433.0,976.0,5120.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,5775.0,0.0,92148.0,97306.0,2235.0,4336.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,4301.0,0.0,90616.0,108727.0,1944.0,3044.0,0.0,0.0,0.0,0.0,3813376.0,0.0
1,5830.0,0.0,0.0,130297.0,963.0,2668.0,0.0,0.0,0.0,0.0,3817472.0,0.0
1,8043.0,0.0,0.0,89616.0,1120.0,3936.0,0.0,0.0,0.0,0.0,3813376.0,0.0
1,14957.0,0.0,860.0,98480.0,1586.0,15896.0,0.0,0.0,0.0,0.0,3809280.0,0.0
1,12277.0,0.0,0.0,210240.0,1579.0,9092.0,0.0,0.0,0.0,0.0,3809280.0,0.0
1,7955.0,0.0,0.0,60036.0,997.0,9016.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,5373.0,0.0,109208.0,72402.0,2145.0,5456.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,3600.0,0.0,536.0,69350.0,864.0,4744.0,0.0,0.0,0.0,0.0,3805184.0,0.0
1,7691.0,0.0,144.0,68806.0,987.0,13040.0,0.0,0.0,0.0,0.0,3809280.0,0.0
1,6097.0,0.0,0.0,96927.0,990.0,5184.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,11955.0,0.0,0.0,155036.0,1416.0,14888.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,3454.0,0.0,0.0,79028.0,548.0,2060.0,0.0,0.0,0.0,0.0,3817472.0,0.0
1,1409.0,0.0,0.0,24967.0,382.0,2388.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,10095.0,0.0,0.0,85902.0,1291.0,11824.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,4527.0,0.0,0.0,99631.0,980.0,5408.0,0.0,0.0,0.0,0.0,3825664.0,0.0
1,3875.0,0.0,0.0,78423.0,915.0,2744.0,0.0,0.0,0.0,0.0,3821568.0,0.0
1,7801.0,0.0,408.0,67307.0,1301.0,10024.0,0.0,0.0,0.0,0.0,3813376.0,0.0
1,2741.0,0.0,0.0,81843.0,816.0,4260.0,0.0,0.0,0.0,0.0,3821568.0,0.0
1,6594.0,0.0,280.0,133293.0,1041.0,2036.0,0.0,0.0,0.0,0.0,3817472.0,0.0
1,5733.0,0.0,144.0,116429.0,1122.0,2564.0,0.0,0.0,0.0,0.0,3825664.0,0.0
1,2625.0,0.0,39332.0,13345.0,818.0,6636.0,0.0,0.0,0.0,0.0,3821568.0,0.0
1,15159.0,0.0,1088.0,97216.0,1659.0,2304.0,0.0,0.0,0.0,0.0,3817472.0,0.0
1,10528.0,0.0,132.0,95864.0,1396.0,7616.0,0.0,0.0,0.0,0.0,3825664.0,0.0
1,12832.0,16.0,368.0,89123.0,1396.0,12668.0,0.0,0.0,0.0,0.0,3825664.0,0.0
1,9397.0,0.0,0.0,96322.0,1346.0,4060.0,0.0,0.0,0.0,0.0,3821568.0,0.0
1,11261.0,0.0,0.0,110349.0,1709.0,4596.0,0.0,0.0,0.0,0.0,3817472.0,0.0
1,11031.0,0.0,0.0,87891.0,1389.0,2068.0,0.0,0.0,0.0,0.0,3825664.0,0.0
1,10737.0,0.0,0.0,104671.0,1475.0,5520.0,0.0,0.0,0.0,0.0,3821568.0,0.0
1,6045.0,0.0,0.0,76005.0,821.0,3040.0,0.0,0.0,0.0,0.0,3813376.0,0.0
1,5794.0,0.0,0.0,68507.0,1002.0,4304.0,0.0,0.0,0.0,0.0,3825664.0,0.0
1,5255.0,0.0,0.0,86116.0,1047.0,3252.0,0.0,0.0,0.0,0.0,3817472.0,0.0
1,1466.0,0.0,0.0,81196.0,669.0,1996.0,0.0,0.0,0.0,0.0,3821568.0,0.0
1,6173.0,76.0,0.0,154121.0,1062.0,6188.0,0.0,0.0,0.0,0.0,3817472.0,0.0
1,3861.0,0.0,0.0,87515.0,1006.0,3348.0,0.0,0.0,0.0,0.0,3829760.0,0.0
1,4726.0,0.0,0.0,61974.0,899.0,5808.0,0.0,0.0,0.0,0.0,3821568.0,0.0
1,3164.0,0.0,0.0,75779.0,1004.0,5348.0,0.0,0.0,0.0,0.0,3833856.0,0.0
1,4550.0,0.0,0.0,103472.0,1047.0,3940.0,0.0,0.0,0.0,0.0,3829760.0,0.0
1,4073.0,0.0,0.0,72451.0,871.0,7180.0,0.0,0.0,0.0,0.0,3833856.0,0.0
1,3494.0,0.0,0.0,69391.0,689.0,7352.0,0.0,0.0,0.0,0.0,3825664.0,0.0
1,4023.0,0.0,86496.0,121305.0,2468.0,6240.0,0.0,0.0,0.0,0.0,3813376.0,0.0
1,6814.0,24.0,87024.0,69997.0,1792.0,16232.0,0.0,0.0,0.0,0.0,3821568.0,0.0
1,3529.0,0.0,65780.0,97607.0,1818.0,2132.0,0.0,0.0,0.0,0.0,3809280.0,0.0
1,4039.0,0.0,164.0,74392.0,877.0,2072.0,0.0,0.0,0.0,0.0,3829760.0,0.0
1,1269.0,0.0,160.0,102687.0,651.0,1880.0,0.0,0.0,0.0,0.0,3817472.0,0.0
1,6072.0,0.0,24.0,56826.0,513.0,17964.0,0.0,0.0,0.0,0.0,3829760.0,0.0
1,9873.0,0.0,208.0,132165.0,1656.0,5600.0,0.0,0.0,0.0,0.0,3825664.0,0.0
1,903.0,0.0,424.0,74732.0,446.0,5540.0,0.0,0.0,0.0,0.0,3825664.0,0.0
1,2808.0,0.0,140.0,81565.0,885.0,4304.0,0.0,0.0,0.0,0.0,3821568.0,0.0
1,4074.0,0.0,0.0,100144.0,895.0,7380.0,0.0,0.0,0.0,0.0,3825664.0,0.0
1,3149.0,0.0,136.0,88929.0,832.0,3192.0,0.0,0.0,0.0,0.0,3825664.0,0.0
1,11593.0,0.0,28.0,81304.0,1067.0,15896.0,0.0,0.0,0.0,0.0,3817472.0,0.0
1,4065.0,0.0,0.0,83236.0,972.0,2724.0,0.0,0.0,0.0,0.0,3829760.0,0.0
1,8144.0,0.0,0.0,71868.0,1057.0,15380.0,0.0,0.0,0.0,0.0,3825664.0,0.0
1,4162.0,0.0,0.0,69380.0,763.0,9424.0,0.0,0.0,0.0,0.0,3837952.0,0.0
1,17359.0,0.0,908.0,130839.0,1941.0,5308.0,0.0,0.0,0.0,0.0,4362240.0,0.0
1,4871.0,0.0,0.0,97301.0,1080.0,4188.0,0.0,0.0,0.0,0.0,3870720.0,0.0
1,2399.0,0.0,148.0,87564.0,611.0,2924.0,0.0,0.0,0.0,0.0,3858432.0,0.0
1,4330.0,0.0,89824.0,92310.0,2274.0,4412.0,0.0,0.0,0.0,0.0,3858432.0,0.0
1,4928.0,0.0,148.0,116395.0,1340.0,3472.0,0.0,0.0,0.0,0.0,3887104.0,0.0
1,23641.0,0.0,291048.0,531257.0,6901.0,657276.0,0.0,0.0,0.0,0.0,674410496.0,0.0
